simulation_id,location,altitude_m,dominant_heat_loss_component,secondary_heat_loss_component,wall_loss_kwh,roof_loss_kwh,floor_loss_kwh,glazing_loss_kwh,infiltration_loss_kwh,sky_loss_kwh,total_loss_kwh,wall_loss_pct,roof_loss_pct,floor_loss_pct,glazing_loss_pct,infiltration_loss_pct,sky_loss_pct,sum_loss_pct,recommended_intervention,intervention_reason,min_indoor_temperature_C,max_indoor_temperature_C,avg_indoor_temperature_C,comfort_hours,hours_below_18C
SIM_000255,Siachen,5400.0,ROOF,FLOOR,0.91,6.766,6.704,1.565,1.313,2.274,19.532,4.66,34.64,34.32,8.01,6.72,11.64,99.99,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-33.61,-29.0,-31.14,0,24
SIM_000256,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,0.94,0.314,4.626,0.094,4.369,0.197,10.541,8.92,2.98,43.89,0.89,41.45,1.87,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-47.81,-40.29,-43.95,0,24
SIM_000257,Galwan,4300.0,FLOOR,WALL,1.919,1.822,10.519,0.02,0.676,0.128,15.085,12.72,12.08,69.73,0.13,4.48,0.85,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.58,-16.95,-20.25,0,24
SIM_000258,Hanle,4500.0,WALL,FLOOR,12.155,1.376,10.585,1.038,1.478,0.141,26.774,45.4,5.14,39.54,3.88,5.52,0.53,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-24.1,-18.66,-21.02,0,24
SIM_000259,Nyoma,4180.0,FLOOR,INFILTRATION,1.471,1.12,6.752,0.625,3.502,0.463,13.933,10.56,8.04,48.46,4.49,25.13,3.32,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-31.35,-23.68,-27.14,0,24
SIM_000260,Chushul,4350.0,FLOOR,INFILTRATION,1.825,2.158,7.364,0.361,3.696,0.179,15.582,11.71,13.85,47.26,2.32,23.72,1.15,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.63,-20.76,-23.96,0,24
SIM_000261,Rezang La,5000.0,WALL,FLOOR,6.837,0.721,3.448,0.141,2.592,0.046,13.785,49.6,5.23,25.01,1.02,18.81,0.34,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-30.15,-25.43,-27.75,0,24
SIM_000262,Pangong,4250.0,FLOOR,INFILTRATION,1.923,1.682,13.549,0.012,4.888,0.199,22.254,8.64,7.56,60.89,0.05,21.97,0.89,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.54,-9.89,-12.13,0,24
SIM_000263,Depsang,5330.0,ROOF,WALL,8.807,9.737,5.533,0.579,2.747,0.107,27.51,32.01,35.39,20.11,2.1,9.99,0.39,99.99,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-33.93,-29.64,-31.48,0,24
SIM_000264,Kargil,2676.0,WALL,ROOF,14.016,13.65,10.661,0.662,0.711,0.933,40.633,34.49,33.59,26.24,1.63,1.75,2.3,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-26.89,-19.75,-22.5,0,24
SIM_000265,Leh,3500.0,FLOOR,INFILTRATION,1.254,0.339,3.542,0.474,1.629,0.03,7.27,17.26,4.67,48.73,6.52,22.41,0.42,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-15.35,-7.79,-10.82,0,24
SIM_000266,Dras,3280.0,FLOOR,INFILTRATION,4.823,1.613,12.983,1.472,8.629,0.207,29.726,16.22,5.43,43.68,4.95,29.03,0.7,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-30.41,-20.49,-24.42,0,24
SIM_000267,Siachen,5400.0,ROOF,FLOOR,1.504,6.56,4.864,0.563,1.377,0.789,15.657,9.6,41.9,31.07,3.6,8.8,5.04,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-47.46,-40.55,-42.81,0,24
SIM_000268,Daulat Beg Oldie,5065.0,WALL,ROOF,7.541,7.164,7.122,0.644,2.383,1.576,26.429,28.53,27.11,26.95,2.44,9.02,5.96,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-34.53,-29.5,-31.58,0,24
SIM_000269,Galwan,4300.0,WALL,FLOOR,3.562,0.302,2.621,0.318,2.378,0.011,9.193,38.75,3.29,28.52,3.46,25.86,0.12,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-27.24,-22.64,-24.63,0,24
SIM_000270,Hanle,4500.0,FLOOR,INFILTRATION,1.456,1.25,8.04,0.218,2.054,0.091,13.109,11.1,9.54,61.33,1.67,15.67,0.69,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-18.2,-8.22,-12.86,0,24
SIM_000271,Nyoma,4180.0,FLOOR,INFILTRATION,2.849,0.605,5.499,0.99,4.502,0.008,14.452,19.71,4.19,38.05,6.85,31.15,0.05,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-21.81,-13.78,-17.27,0,24
SIM_000272,Chushul,4350.0,FLOOR,INFILTRATION,6.534,0.829,10.044,1.071,7.432,0.145,26.055,25.08,3.18,38.55,4.11,28.52,0.56,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-36.31,-30.42,-33.02,0,24
SIM_000273,Rezang La,5000.0,FLOOR,WALL,6.725,1.526,7.261,0.469,2.361,0.098,18.44,36.47,8.28,39.38,2.54,12.8,0.53,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-25.84,-23.38,-24.45,0,24
SIM_000274,Pangong,4250.0,FLOOR,INFILTRATION,2.508,0.814,8.0,0.441,6.403,0.067,18.233,13.75,4.46,43.88,2.42,35.12,0.37,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.76,-18.73,-20.62,0,24
SIM_000275,Depsang,5330.0,FLOOR,INFILTRATION,1.45,1.301,10.798,2.01,4.245,0.29,20.094,7.22,6.48,53.74,10.0,21.13,1.44,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-45.29,-40.31,-41.9,0,24
SIM_000276,Kargil,2676.0,FLOOR,ROOF,3.059,5.816,21.564,1.177,2.664,0.239,34.519,8.86,16.85,62.47,3.41,7.72,0.69,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-9.95,-4.83,-6.49,0,24
SIM_000277,Leh,3500.0,FLOOR,GLAZING,1.149,0.994,10.028,2.078,1.973,0.121,16.343,7.03,6.08,61.36,12.71,12.07,0.74,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.84,-9.45,-11.03,0,24
SIM_000278,Dras,3280.0,FLOOR,INFILTRATION,1.664,1.324,8.142,0.472,4.306,0.139,16.045,10.37,8.25,50.74,2.94,26.84,0.86,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.69,-12.77,-15.99,0,24
SIM_000279,Siachen,5400.0,FLOOR,WALL,3.517,0.981,15.036,1.726,2.771,0.046,24.076,14.61,4.07,62.45,7.17,11.51,0.19,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-30.59,-26.65,-28.44,0,24
SIM_000280,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,2.091,1.087,22.707,1.527,2.693,0.037,30.142,6.94,3.61,75.33,5.07,8.93,0.12,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-41.78,-33.26,-36.23,0,24
SIM_000281,Galwan,4300.0,FLOOR,WALL,5.577,2.329,18.681,2.522,5.485,0.238,34.832,16.01,6.69,53.63,7.24,15.75,0.68,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-22.63,-15.22,-18.23,0,24
SIM_000282,Hanle,4500.0,WALL,FLOOR,7.126,0.836,4.508,0.036,3.035,0.1,15.643,45.56,5.35,28.82,0.23,19.41,0.64,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-25.49,-21.51,-23.59,0,24
SIM_000283,Nyoma,4180.0,FLOOR,WALL,9.154,7.214,9.97,4.676,3.719,2.595,37.327,24.52,19.33,26.71,12.53,9.96,6.95,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-30.55,-25.71,-27.85,0,24
SIM_000284,Chushul,4350.0,FLOOR,INFILTRATION,2.805,1.11,7.598,0.939,4.509,0.082,17.043,16.46,6.51,44.58,5.51,26.46,0.48,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.86,-19.88,-21.42,0,24
SIM_000285,Rezang La,5000.0,WALL,INFILTRATION,4.204,0.146,2.446,0.034,2.911,0.065,9.805,42.87,1.49,24.94,0.35,29.69,0.66,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-30.37,-27.28,-28.8,0,24
SIM_000286,Pangong,4250.0,FLOOR,INFILTRATION,3.438,0.944,16.393,2.351,11.048,0.092,34.266,10.03,2.76,47.84,6.86,32.24,0.27,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-17.6,-8.84,-12.28,0,24
SIM_000287,Depsang,5330.0,FLOOR,INFILTRATION,3.923,1.059,12.789,0.948,4.225,0.076,23.02,17.04,4.6,55.56,4.12,18.36,0.33,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.93,-26.12,-27.39,0,24
SIM_000288,Kargil,2676.0,INFILTRATION,WALL,6.005,0.324,5.228,0.328,7.084,0.106,19.075,31.48,1.7,27.41,1.72,37.14,0.56,100.01,Perimeter weatherstripping and door draft seals,High air exchange rate is flushing interior thermal energy.,-25.07,-22.46,-23.68,0,24
SIM_000289,Leh,3500.0,WALL,FLOOR,8.314,0.552,7.808,0.329,4.963,0.167,22.133,37.56,2.5,35.28,1.49,22.42,0.75,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-10.62,-7.37,-9.01,0,24
SIM_000290,Dras,3280.0,FLOOR,INFILTRATION,1.493,0.446,4.281,0.134,3.492,0.018,9.863,15.13,4.52,43.4,1.36,35.4,0.18,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-29.33,-24.04,-26.62,0,24
SIM_000291,Siachen,5400.0,FLOOR,ROOF,6.623,6.731,9.823,1.021,3.564,1.116,28.879,22.93,23.31,34.02,3.54,12.34,3.86,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-44.28,-40.78,-42.11,0,24
SIM_000292,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,1.538,0.782,4.985,0.309,2.47,0.108,10.191,15.09,7.67,48.91,3.03,24.23,1.06,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-38.18,-28.24,-32.29,0,24
SIM_000293,Galwan,4300.0,FLOOR,INFILTRATION,2.694,0.84,14.482,1.857,5.992,0.156,26.022,10.35,3.23,55.66,7.13,23.03,0.6,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.66,-19.05,-21.97,0,24
SIM_000294,Hanle,4500.0,ROOF,FLOOR,1.456,3.53,2.939,0.667,2.002,1.188,11.783,12.36,29.96,24.95,5.66,16.99,10.08,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-20.05,-11.91,-15.7,0,24
SIM_000295,Nyoma,4180.0,WALL,INFILTRATION,8.216,0.769,5.473,0.477,7.712,0.168,22.815,36.01,3.37,23.99,2.09,33.8,0.74,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-19.26,-15.36,-17.32,0,24
SIM_000296,Chushul,4350.0,FLOOR,WALL,9.186,1.158,12.333,1.426,2.909,0.086,27.097,33.9,4.28,45.51,5.26,10.73,0.32,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-34.92,-30.85,-32.32,0,24
SIM_000297,Rezang La,5000.0,FLOOR,ROOF,1.614,2.407,11.511,1.0,1.444,0.158,18.134,8.9,13.27,63.48,5.52,7.96,0.87,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.42,-23.25,-24.86,0,24
SIM_000298,Pangong,4250.0,FLOOR,INFILTRATION,1.787,2.634,11.701,3.706,8.022,0.141,27.991,6.38,9.41,41.8,13.24,28.66,0.5,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.32,-17.64,-19.58,0,24
SIM_000299,Depsang,5330.0,FLOOR,INFILTRATION,1.638,0.824,4.201,0.45,2.737,0.063,9.913,16.52,8.31,42.38,4.54,27.62,0.64,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-46.21,-38.66,-41.79,0,24
SIM_000300,Kargil,2676.0,FLOOR,GLAZING,1.27,1.954,9.949,5.146,4.384,0.227,22.93,5.54,8.52,43.39,22.44,19.12,0.99,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.99,-6.17,-9.72,0,24
SIM_000301,Leh,3500.0,ROOF,FLOOR,4.375,6.278,5.935,0.215,0.882,0.15,17.834,24.53,35.2,33.28,1.21,4.94,0.84,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-17.99,-9.06,-12.76,0,24
SIM_000302,Dras,3280.0,FLOOR,INFILTRATION,2.164,1.088,5.222,1.131,4.044,0.082,13.731,15.76,7.92,38.03,8.23,29.45,0.6,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.7,-13.66,-15.65,0,24
SIM_000303,Siachen,5400.0,FLOOR,INFILTRATION,2.114,1.319,7.963,0.774,4.63,0.16,16.959,12.46,7.77,46.95,4.56,27.3,0.95,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-31.15,-25.93,-28.1,0,24
SIM_000304,Daulat Beg Oldie,5065.0,WALL,FLOOR,10.322,1.021,6.192,0.193,0.522,0.035,18.285,56.45,5.58,33.86,1.06,2.86,0.19,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-44.33,-40.08,-42.19,0,24
SIM_000305,Galwan,4300.0,FLOOR,WALL,5.134,3.851,25.266,2.993,1.659,0.226,39.129,13.12,9.84,64.57,7.65,4.24,0.58,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-21.2,-16.43,-17.83,0,24
SIM_000306,Hanle,4500.0,WALL,FLOOR,18.282,1.995,11.527,1.903,1.683,0.188,35.578,51.39,5.61,32.4,5.35,4.73,0.53,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-26.35,-19.55,-22.43,0,24
SIM_000307,Nyoma,4180.0,ROOF,FLOOR,2.115,17.06,15.415,1.503,3.911,4.192,44.195,4.79,38.6,34.88,3.4,8.85,9.49,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-30.24,-22.95,-26.36,0,24
SIM_000308,Chushul,4350.0,FLOOR,WALL,2.109,0.77,6.135,1.249,0.896,0.12,11.279,18.7,6.83,54.4,11.07,7.95,1.06,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.59,-19.42,-22.94,0,24
SIM_000309,Rezang La,5000.0,FLOOR,WALL,8.05,1.206,8.368,4.318,2.005,0.192,24.14,33.35,5.0,34.67,17.89,8.31,0.8,100.02,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.81,-24.69,-26.54,0,24
SIM_000310,Pangong,4250.0,FLOOR,INFILTRATION,2.97,1.835,11.652,0.141,4.008,0.101,20.707,14.34,8.86,56.27,0.68,19.36,0.49,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.33,-9.89,-12.16,0,24
SIM_000311,Depsang,5330.0,FLOOR,INFILTRATION,2.349,1.095,14.442,1.207,4.808,0.087,23.989,9.79,4.57,60.2,5.03,20.04,0.36,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-32.98,-23.67,-27.78,0,24
SIM_000312,Kargil,2676.0,FLOOR,INFILTRATION,1.841,1.293,5.931,1.297,2.516,0.1,12.979,14.18,9.97,45.7,10.0,19.39,0.77,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-25.13,-20.37,-21.93,0,24
SIM_000313,Leh,3500.0,ROOF,FLOOR,2.321,9.004,7.446,0.11,0.089,0.711,19.68,11.79,45.75,37.83,0.56,0.45,3.61,99.99,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-18.19,-8.19,-12.09,0,24
SIM_000314,Dras,3280.0,FLOOR,WALL,1.823,0.503,4.895,0.679,0.583,0.164,8.647,21.08,5.82,56.61,7.85,6.75,1.9,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-31.58,-22.47,-25.51,0,24
SIM_000315,Siachen,5400.0,FLOOR,WALL,2.422,1.454,16.473,0.971,2.193,0.124,23.637,10.25,6.15,69.69,4.11,9.28,0.53,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-41.73,-39.38,-40.1,0,24
SIM_000316,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,3.266,3.083,10.968,0.445,5.988,0.31,24.06,13.58,12.81,45.59,1.85,24.89,1.29,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-37.54,-28.3,-32.25,0,24
SIM_000317,Galwan,4300.0,FLOOR,INFILTRATION,0.922,0.661,5.077,0.096,3.447,0.03,10.234,9.01,6.46,49.61,0.94,33.68,0.29,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-27.19,-21.32,-23.99,0,24
SIM_000318,Hanle,4500.0,FLOOR,INFILTRATION,1.686,0.485,6.527,0.263,3.729,0.208,12.898,13.08,3.76,50.61,2.04,28.91,1.61,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-22.01,-12.09,-16.17,0,24
SIM_000319,Nyoma,4180.0,FLOOR,INFILTRATION,1.379,0.841,6.044,0.109,4.633,0.032,13.039,10.57,6.45,46.36,0.84,35.54,0.25,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-21.63,-10.53,-16.03,0,24
SIM_000320,Chushul,4350.0,FLOOR,INFILTRATION,1.982,1.85,7.413,1.408,3.912,0.369,16.933,11.71,10.92,43.78,8.31,23.1,2.18,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-37.81,-30.28,-33.02,0,24
SIM_000321,Rezang La,5000.0,WALL,FLOOR,12.44,0.875,7.492,0.504,3.056,0.022,24.39,51.0,3.59,30.72,2.07,12.53,0.09,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-26.68,-23.11,-24.91,0,24
SIM_000322,Pangong,4250.0,FLOOR,WALL,2.462,2.114,21.424,2.177,0.98,0.147,29.304,8.4,7.21,73.11,7.43,3.34,0.5,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.99,-15.76,-18.66,0,24
SIM_000323,Depsang,5330.0,FLOOR,INFILTRATION,6.379,2.812,16.887,1.893,8.995,0.401,37.368,17.07,7.53,45.19,5.06,24.07,1.07,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-43.58,-37.88,-40.26,0,24
SIM_000324,Kargil,2676.0,INFILTRATION,FLOOR,2.933,2.382,10.031,1.111,10.311,0.12,26.888,10.91,8.86,37.31,4.13,38.35,0.45,100.01,Perimeter weatherstripping and door draft seals,High air exchange rate is flushing interior thermal energy.,-12.98,-7.15,-9.46,0,24
SIM_000325,Leh,3500.0,ROOF,WALL,8.971,13.064,6.391,0.608,1.503,0.38,30.917,29.02,42.26,20.67,1.96,4.86,1.23,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-17.07,-11.56,-13.66,0,24
SIM_000326,Dras,3280.0,FLOOR,INFILTRATION,0.599,2.32,3.335,0.084,2.929,0.299,9.566,6.26,24.26,34.86,0.87,30.62,3.13,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.08,-15.51,-19.77,0,24
SIM_000327,Siachen,5400.0,FLOOR,WALL,3.828,0.581,6.034,0.55,0.367,0.031,11.391,33.61,5.1,52.97,4.83,3.22,0.27,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-31.46,-27.59,-29.44,0,24
SIM_000328,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,1.427,1.851,10.104,1.029,5.712,0.171,20.294,7.03,9.12,49.79,5.07,28.14,0.84,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-46.24,-39.26,-41.82,0,24
SIM_000329,Galwan,4300.0,FLOOR,WALL,10.254,1.232,15.218,1.95,3.719,0.161,32.534,31.52,3.79,46.78,5.99,11.43,0.49,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.74,-18.23,-19.4,0,24
SIM_000330,Hanle,4500.0,FLOOR,WALL,2.429,1.497,10.743,0.05,0.63,0.064,15.413,15.76,9.71,69.7,0.32,4.09,0.42,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-25.85,-16.53,-20.95,0,24
SIM_000331,Nyoma,4180.0,ROOF,FLOOR,1.87,8.558,5.271,0.144,4.61,2.542,22.994,8.13,37.22,22.92,0.62,20.05,11.05,99.99,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-31.94,-24.48,-28.01,0,24
SIM_000332,Chushul,4350.0,WALL,FLOOR,5.31,0.244,3.691,0.191,1.632,0.048,11.116,47.77,2.2,33.2,1.71,14.68,0.43,99.99,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-25.51,-23.13,-24.39,0,24
SIM_000333,Rezang La,5000.0,FLOOR,INFILTRATION,2.252,1.82,18.09,3.331,12.062,0.115,37.671,5.98,4.83,48.02,8.84,32.02,0.31,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.86,-20.98,-23.79,0,24
SIM_000334,Pangong,4250.0,FLOOR,WALL,3.975,1.047,13.849,0.645,2.708,0.131,22.356,17.78,4.68,61.95,2.89,12.12,0.58,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.35,-9.89,-11.91,0,24
SIM_000335,Depsang,5330.0,FLOOR,INFILTRATION,2.632,0.291,5.168,0.152,4.151,0.166,12.561,20.95,2.32,41.14,1.21,33.05,1.32,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-35.06,-29.41,-32.23,0,24
SIM_000336,Kargil,2676.0,ROOF,WALL,10.599,11.256,7.091,0.757,4.826,2.171,36.7,28.88,30.67,19.32,2.06,13.15,5.92,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-25.17,-20.56,-22.39,0,24
SIM_000337,Leh,3500.0,WALL,FLOOR,9.756,0.777,4.661,0.116,0.641,0.033,15.983,61.04,4.86,29.16,0.73,4.01,0.2,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-11.99,-8.27,-10.11,0,24
SIM_000338,Dras,3280.0,ROOF,FLOOR,2.651,13.494,8.565,0.43,2.334,1.802,29.277,9.06,46.09,29.26,1.47,7.97,6.15,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-33.08,-21.49,-26.32,0,24
SIM_000339,Siachen,5400.0,FLOOR,INFILTRATION,2.516,1.026,13.829,1.6,2.804,0.034,21.81,11.53,4.71,63.41,7.34,12.86,0.15,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-42.19,-33.75,-36.69,0,24
SIM_000340,Daulat Beg Oldie,5065.0,FLOOR,WALL,8.176,0.284,9.417,1.075,2.591,0.143,21.686,37.7,1.31,43.42,4.96,11.95,0.66,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-34.95,-30.36,-32.29,0,24
SIM_000341,Galwan,4300.0,FLOOR,INFILTRATION,2.679,3.098,9.104,2.266,5.192,0.31,22.649,11.83,13.68,40.19,10.01,22.93,1.37,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-27.02,-21.97,-23.8,0,24
SIM_000342,Hanle,4500.0,FLOOR,INFILTRATION,3.582,4.647,18.105,1.918,8.629,0.363,37.245,9.62,12.48,48.61,5.15,23.17,0.97,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.76,-9.03,-13.95,0,24
SIM_000343,Nyoma,4180.0,ROOF,FLOOR,2.919,11.318,9.486,0.08,6.037,0.352,30.192,9.67,37.49,31.42,0.27,19.99,1.17,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-21.38,-12.09,-16.46,0,24
SIM_000344,Chushul,4350.0,FLOOR,INFILTRATION,1.932,0.836,9.942,0.889,3.553,0.144,17.296,11.17,4.83,57.48,5.14,20.54,0.83,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-37.65,-30.09,-33.52,0,24
SIM_000345,Rezang La,5000.0,INFILTRATION,WALL,5.128,0.197,2.979,0.018,6.418,0.0,14.74,34.79,1.34,20.21,0.12,43.54,0.0,100.0,Perimeter weatherstripping and door draft seals,High air exchange rate is flushing interior thermal energy.,-30.21,-25.34,-27.71,0,24
SIM_000346,Pangong,4250.0,ROOF,FLOOR,1.339,15.813,12.017,1.384,5.516,2.27,38.34,3.49,41.25,31.34,3.61,14.39,5.92,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-28.46,-19.84,-23.0,0,24
SIM_000347,Depsang,5330.0,FLOOR,INFILTRATION,2.581,1.524,21.9,1.688,12.567,0.075,40.336,6.4,3.78,54.29,4.18,31.16,0.19,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-41.95,-35.74,-37.74,0,24
SIM_000348,Kargil,2676.0,FLOOR,WALL,3.007,2.144,8.253,0.718,1.825,0.113,16.059,18.72,13.35,51.39,4.47,11.36,0.7,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-15.72,-7.16,-10.82,0,24
SIM_000349,Leh,3500.0,WALL,FLOOR,14.927,0.447,7.364,0.527,5.745,0.137,29.147,51.21,1.53,25.27,1.81,19.71,0.47,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-13.51,-9.17,-11.29,0,24
SIM_000350,Dras,3280.0,FLOOR,INFILTRATION,1.773,0.443,6.121,0.34,3.004,0.168,11.848,14.96,3.74,51.66,2.87,25.36,1.41,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.54,-15.92,-18.14,0,24
SIM_000351,Siachen,5400.0,FLOOR,INFILTRATION,1.234,0.636,6.359,1.823,2.083,0.16,12.294,10.03,5.17,51.72,14.82,16.95,1.3,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-32.94,-29.03,-30.49,0,24
SIM_000352,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,2.333,0.774,6.667,0.387,5.243,0.32,15.724,14.83,4.92,42.4,2.46,33.35,2.04,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-47.95,-38.75,-42.88,0,24
SIM_000353,Galwan,4300.0,ROOF,FLOOR,2.646,19.564,14.346,1.54,0.491,2.232,40.82,6.48,47.93,35.15,3.77,1.2,5.47,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-24.28,-16.58,-19.02,0,24
